Epoch 1/100 | Train Loss: 5.401668 | Val Loss: 2.656082 | Val Acc: 14.75%
/home/daniel/aa2/AA2_Prc2_Fractathlon/venv/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:243: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
Epoch 2/100 | Train Loss: 2.943442 | Val Loss: 7.490075 | Val Acc: 15.65%
Epoch 3/100 | Train Loss: 2.431585 | Val Loss: 5.617168 | Val Acc: 12.80%
Epoch 4/100 | Train Loss: 2.251354 | Val Loss: 2.014680 | Val Acc: 20.80%
Epoch 5/100 | Train Loss: 2.163050 | Val Loss: 2.561336 | Val Acc: 23.95%
Epoch 6/100 | Train Loss: 2.026369 | Val Loss: 2.298884 | Val Acc: 25.90%
Epoch 7/100 | Train Loss: 1.965477 | Val Loss: 2.193499 | Val Acc: 25.95%
Epoch 8/100 | Train Loss: 1.899172 | Val Loss: 1.673134 | Val Acc: 32.80%
Epoch 9/100 | Train Loss: 1.735279 | Val Loss: 1.628805 | Val Acc: 33.20%
Epoch 10/100 | Train Loss: 1.698620 | Val Loss: 1.578072 | Val Acc: 33.55%
Epoch 11/100 | Train Loss: 1.678581 | Val Loss: 1.651322 | Val Acc: 32.40%
Epoch 12/100 | Train Loss: 1.640860 | Val Loss: 1.584944 | Val Acc: 32.60%
Epoch 13/100 | Train Loss: 1.635290 | Val Loss: 1.559718 | Val Acc: 33.95%
Epoch 14/100 | Train Loss: 1.665116 | Val Loss: 4.378026 | Val Acc: 31.70%
Epoch 15/100 | Train Loss: 1.624579 | Val Loss: 2.625322 | Val Acc: 34.20%
Epoch 16/100 | Train Loss: 1.599140 | Val Loss: 14.436157 | Val Acc: 29.70%
Epoch 17/100 | Train Loss: 1.475816 | Val Loss: 1.364361 | Val Acc: 45.65%
Epoch 18/100 | Train Loss: 1.493238 | Val Loss: 1.387363 | Val Acc: 39.85%
Epoch 19/100 | Train Loss: 1.369578 | Val Loss: 1.376578 | Val Acc: 49.40%
Epoch 20/100 | Train Loss: 1.221887 | Val Loss: 1.099290 | Val Acc: 51.25%
Epoch 21/100 | Train Loss: 1.132547 | Val Loss: 1.204015 | Val Acc: 54.65%
Epoch 22/100 | Train Loss: 1.277477 | Val Loss: 0.891122 | Val Acc: 61.35%
Epoch 23/100 | Train Loss: 0.904930 | Val Loss: 0.855170 | Val Acc: 65.05%
Epoch 24/100 | Train Loss: 0.808717 | Val Loss: 0.692943 | Val Acc: 69.85%
