relative_path,fractal
train/ecb85b60-d826-4679-ab14-2d47d73bdf42.png,dragon
train/4f155d03-beaa-41e2-a03c-0eee64f31d1b.png,sierpinski
train/7c441af1-7210-470d-b926-803bb606a606.png,julia
train/38e7e9a6-70a8-49ca-b662-fe144f16cb6a.png,julia
train/bf3d4ba7-5d81-4eed-b5cf-69b2427aa42d.png,barnsley
train/afa512f8-c128-4674-bdbb-dcede0fda1f9.png,sierpinski_carpet
train/ae3648b1-0d84-4a8d-8c7e-f936fb8ae074.png,barnsley
train/2e1a120b-2965-4b88-8390-a3d9bb220454.png,koch
train/04ff6ba0-ad67-4fa3-a6e2-84332388a88c.png,dragon
train/49907e8e-fde0-40dc-b4aa-129b9b5da719.png,julia
train/487efee6-7a6b-4d1a-8c52-9b9627e70cf3.png,newton
train/fdd75d68-df9e-4278-94df-f1806482fcb4.png,newton
train/4fbbc2c2-f40f-47bd-b54c-e310f4483f42.png,tree
train/9b231cd5-c311-4af3-92b4-70ad61390531.png,julia
train/f872abf5-0d58-42b6-a0f9-41b806188c9a.png,barnsley
train/5de04d45-8e00-44f8-ab2a-940fb93fef86.png,tree
train/70dd5f00-7c6a-4124-b9e3-316755e21d98.png,dragon
train/835803ed-f761-436e-bfe8-a63f7ae87c65.png,dragon
train/070808ec-ba66-46b2-8f61-41fb866caf29.png,barnsley
train/60c66d3b-c558-43f1-986b-93b36fca4ad8.png,julia
train/6e189f1a-0644-495b-9fd9-5f355507ca8a.png,barnsley
train/ccb4b5a6-70d2-4c2e-b467-ef282c2e861b.png,tree
train/89b81577-ff0d-49b8-961c-6f064b89c1b4.png,newton
train/b5256ee1-6f99-47e4-9029-13f1eec0d4fa.png,julia
train/babaec24-f877-42fe-8e3e-be163f100e03.png,julia
train/6aea230c-6f61-482f-9698-1e181f7af931.png,tree
train/24b86579-b497-42ac-ac99-46969fa98e80.png,koch
train/94743d48-0aa9-4461-a70a-6c373d7685f9.png,tree
train/d72bb439-174a-4015-9b9e-ccb77096cad9.png,sierpinski_carpet
train/a69a40e0-0c9f-445a-9f97-25bd60828ef8.png,barnsley
